Zipcode,Count of Doctors
90211,187
90048,176
90033,161
90242,142
90640,140
90241,128
90210,122
96161,117
96150,106
90095,99
90255,93
90024,70
90022,69
90262,55
96130,53
90067,48
90023,47
90212,44
90240,41
90280,41
95971,31
91607,30
90035,26
91423,26
95646,24
96122,21
90270,21
90660,21
90201,21
90046,20
90069,19
96020,18
95959,17
90058,17
90040,16
90001,16
95735,16
91602,15
91754,15
90025,12
95947,12
91604,11
96145,11
95946,10
90028,9
90011,9
96101,9
95949,7
90036,7
96134,6
90063,6
96146,6
96137,5
96009,5
95713,4
91403,4
95919,4
96104,3
90014,3
90723,3
96015,2
90670,2
90221,2
95936,2
90068,2
90706,2
90021,2
95631,1
90012,1
95223,1
90049,1
95722,1
90077,1
95634,1
95962,1
96120,1
96103,1
90059,1
93517,1
96143,1
